id,gen,matron_id,sire_id,birthdate,genes,name
34000,3,22595,26506,2017-12-03 00:14:09,acaa 555j fa2a fafb 4611 5858 edc9 bb77 8858 7678 af9a dcef,
34001,9,25557,28104,2017-12-03 00:14:09,9a9c 7777 7477 fg9b 6614 8873 7bbd 1b22 877k 3366 fadf faef,
34002,23,20515,31357,2017-12-03 00:14:09,acdd 5878 2a4a gggb 1444 3377 7bd9 214b 6677 8684 fafp adfb,
34003,4,33325,33605,2017-12-03 00:14:09,aa99 8776 f742 bgfa 4644 8777 bff7 667b 5677 7383 gfga feee,
34004,6,29109,20060,2017-12-03 00:14:09,99ca 7588 74a2 9gaf 4616 3755 ede7 b766 5785 8488 gfga edfe,
34005,20,33822,33132,2017-12-03 00:14:09,9ad9 8678 a272 agb9 1616 857k 7fbe b662 5868 4868 dfda dbcc,
34006,18,22108,23175,2017-12-03 00:14:09,9c99 78j5 7f27 g9gp 4166 7775 c9f9 41bb 7885 7833 fa9g ofee,
34007,16,28391,27259,2017-12-03 00:14:09,9a9a 5888 4272 aaaf 1141 7757 cece h7hh 7776 3334 g9gg cefd,
34008,8,28616,32837,2017-12-03 00:14:14,9d99 6676 4aa7 fbgp 6646 5877 bc79 62b2 7888 388k daad fafc,
34009,14,32094,26966,2017-12-03 00:14:14,d99d 8855 a2a7 bf9g 1141 5757 b9bn 2116 778k 8844 dfd9 dfcd,
34010,14,30557,30429,2017-12-03 00:14:14,d99m 6886 774a faaa 6114 5557 c7fe 7771 6788 6876 ddgd afca,
34011,10,32596,33282,2017-12-03 00:14:14,dc9c 55k8 f274 g99b 4411 557k ed9o 7674 88k8 8338 f9dd naen,
34012,6,30451,30574,2017-12-03 00:14:14,9ada 5677 4a42 fgaa 6616 5577 edef b222 5877 7i26 gdag eeea,
34013,11,30060,31868,2017-12-03 00:14:14,aa99 j656 2777 9bfb 1646 877k ccbe 466b 7768 8666 agad ddcb,
34014,4,32954,33629,2017-12-03 00:14:14,dcda 7776 af42 baba 6664 3877 b9fe 1716 6777 3873 dgga eade,
34015,17,25100,25158,2017-12-03 00:14:14,a9ca 8555 a727 gfga 6666 5777 ef9f 4b14 8876 734i aa9g cdee,
34016,10,31602,18857,2017-12-03 00:14:14,9dc9 6577 72f7 fgfg 1416 5557 fcb9 44b7 777k 8338 f9fg aeoc,
34017,17,4713,22147,2017-12-03 00:14:14,aca9 766j a222 pga9 4411 5757 f7ee 74b4 5758 36i8 fgma fodf,
34018,4,14398,27165,2017-12-03 00:14:14,a9ac 5685 a742 bagg 4611 8385 bd9o 4246 6887 8333 agga ffde,
34019,6,30309,32836,2017-12-03 00:14:14,cd9a 66j5 22f4 afga 1641 778k bb79 6b2b 8877 6773 ffdd edad,
34020,3,27200,33371,2017-12-03 00:14:14,ac9a 7865 4fa7 gbbb 1611 587k edbf 6426 7787 733i agdg baae,
34021,5,33634,32611,2017-12-03 00:14:14,acca 5677 af72 bgf9 1111 7775 9edc 47bb 6878 8334 g9ad eede,
34022,6,33141,33883,2017-12-03 00:14:14,ccma 8875 fa42 gafg 6616 7577 ddbd 1774 8667 3833 fagd dded,
34023,5,33244,25817,2017-12-03 00:14:14,ada9 5668 4227 9b9b 1644 7875 f9b9 414b 777j 7883 d9dd faaf,
34024,6,33870,25161,2017-12-03 00:14:14,cda9 8786 474f gbgf 6111 7357 e9fe 6424 7658 7373 gffd bcfo,
34025,4,31374,33881,2017-12-03 00:14:14,adca 765j 724f bb9p 6616 887k bdb9 4646 6667 7774 dddf fbaa,
34026,5,27376,26386,2017-12-03 00:14:14,c9ca 8j5j fa4a gfga 4661 8757 7e9e 1b11 8877 6688 adff edcc,
34027,5,33847,27665,2017-12-03 00:14:14,ac9c 8588 f7a2 ffgg 4161 5575 bcee 7771 6687 4838 afga edae,
34028,20,33498,15979,2017-12-03 00:14:14,a9ca 6767 44f4 bfgf 1164 7577 ffdf 7b21 788k 43i8 aapg eeoo,
34029,12,32205,30953,2017-12-03 00:14:14,c999 5785 72f7 fgfb 4661 5777 9dno 4171 775k 4684 9fpa cace,
34030,5,31174,33089,2017-12-03 00:14:32,c9c9 5857 fa4a ff9g 1144 5775 f9fd 4227 768k 6686 ggga eeef,
34031,10,32293,32388,2017-12-03 00:14:32,9ada 68k7 a24a gbpp 1111 85k8 9fb9 4bbh 8876 6788 9fda caee,
34032,12,29904,31880,2017-12-03 00:14:32,aa99 656j 2a77 99gb 1666 77k8 cbee 466b 7876 6823 dgga decd,
34033,7,25040,22828,2017-12-03 00:14:32,cca9 6656 4744 ffba 1114 8585 f99d 264b 767j 78k3 gaad ecca,
34034,4,11592,33877,2017-12-03 00:14:32,ccca 86k6 f4ff gagg 6161 7855 fb77 1422 8888 883i fgdg ddee,
34035,11,31465,31652,2017-12-03 00:14:32,acca 6678 222a 9gfm 1641 5575 fc7e 4bbb 87kk 6648 ffaf cdfc,
34036,6,31441,32368,2017-12-03 00:14:32,9cac 5656 4a4a fbab 1111 5858 ee9e 24b2 858k 866i gaaa fedf,
34037,13,32885,32208,2017-12-03 00:14:32,9mc9 6856 f2a4 aa9p 6114 5785 7co7 12bb 57k7 6386 9gfa fofe,
34038,9,31840,32870,2017-12-03 00:14:32,a9c9 6656 74a2 aap9 1111 5787 oce7 4127 5587 6336 afag ecef,
34039,13,28725,27816,2017-12-03 00:14:32,9ac9 5756 42fa 9bpm 1644 775k bf9d 4267 687k 6836 d9gg feac,
34040,15,30577,17373,2017-12-03 00:14:32,ca9a 5585 74f2 a9bf 6411 5777 ce7b 4221 7687 4487 aggg dfcd,
34041,3,33265,33948,2017-12-03 00:14:32,dddc 7565 724f b9bb 6646 88k7 bbb9 4b66 8777 7773 ddf9 ffaa,
34042,9,33852,33718,2017-12-03 00:14:32,ac9c 657j 4faf 9agg 4161 5755 fedd b74b 7687 6733 f9ff fffc,
34043,11,32127,32897,2017-12-03 00:15:00,9cc9 8876 2272 9agm 6614 7555 cee7 b1b1 87k7 3337 aa9f ffcc,
34044,8,29423,28207,2017-12-03 00:15:07,ca99 8556 227a b9gp 6164 7883 ccec 4b46 8888 8888 gaad dada,
34045,14,23499,28316,2017-12-03 00:15:11,d9a9 7778 744a 9ggb 6666 5357 foee bb7b 7886 7787 afdd fafo,
34046,16,15051,13385,2017-12-03 00:15:11,acam 7675 474a a9ap 4616 5557 dc97 22b1 5777 3763 9aaf cdef,
34047,10,16477,33795,2017-12-03 00:15:11,a9cc 6568 4f22 bfag 4144 5555 eb9c 4b71 8787 3678 dama cead,
34048,7,22175,31878,2017-12-03 00:15:11,c9ca 6567 aa24 ggaf 6611 5555 e7ef bb4b 8878 6868 gfap aedf,
34049,4,27906,28979,2017-12-03 00:15:13,daa9 8866 222a agbb 6611 7875 99fd 2b77 7787 7762 adg9 dcdf,
34050,14,29342,24020,2017-12-03 00:17:23,dccd 7675 7f22 fgpa 4646 7755 cbde bb12 7788 3464 gmdd cadf,
